,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,78,22,0.5599999944,0.08952551469156175,12.215909090909092,0.5972093023255814,5.125247357293869,12.215909090909092,642,1075,3.019662921348315,3,7.649302325581395
1,321.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,41,13,0.5185185089163239,0.11999999973333333,15.607142857142858,0.6247139588100686,6.492742726381171,15.607142857142858,273,437,3.041958041958042,4,7.725400457665904
2,2345.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,24,27,-0.05882352825836219,0.06472081210060811,9.506493506493506,0.5273224043715847,4.013526364346037,9.506493506493506,386,730,2.7035460992907803,4,7.152054794520548
3,4321.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,36,27,0.1428571405895692,0.07126696824517312,13.64516129032258,0.5508274231678487,5.678395485396172,13.64516129032258,466,844,2.764423076923077,7,7.373222748815166
4,432.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,36,27,0.1428571405895692,0.07126696824517312,13.64516129032258,0.5508274231678487,5.678395485396172,13.64516129032258,466,844,2.764423076923077,7,7.373222748815166
5,2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,46,12,0.5862068864447089,0.07090464539009213,11.102941176470589,0.5377483443708609,4.65627580833658,11.102941176470589,406,754,2.7918367346938777,6,7.404509283819628
6,3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,35,10,0.5555555432098769,0.05521472385863224,13.773584905660377,0.5958904109589042,5.747790126647713,13.773584905660377,435,728,2.9085794655414907,2,7.585164835164835
7,3817.4,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,61,6,0.8208955101358879,0.05955555550261728,10.434343434343434,0.5508228460793805,4.394066512169126,10.434343434343434,569,1027,2.7580487804878047,5,7.461538461538462
8,4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,11,0,0.9999999090909174,0.028423772536372682,12.892857142857142,0.5013850415512465,5.357696873763356,12.892857142857142,181,361,2.713091922005571,2,7.193905817174516
9,4741.0,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,24,46,-0.31428570979591847,0.09020618545076522,13.222222222222221,0.5826330532212886,5.521942110177404,13.222222222222221,416,711,2.8110014104372354,7,7.509142053445851
10,5202.8,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,15,8,0.3043478128544429,0.06744868015410944,9.90625,0.5047318611987381,4.164392744479495,9.90625,160,315,2.761146496815287,5,7.358730158730158
11,5664.6,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,33,14,0.40425531054775937,0.050537634354260605,13.029850746268657,0.5005727376861397,5.4121693935819195,13.029850746268657,437,870,2.669431279620853,8,6.929885057471265
